iter	Logloss
0	0.6858739562
1	0.6795508786
2	0.6729980198
3	0.6668312916
4	0.6605954809
5	0.6545815331
6	0.6482797117
7	0.642515115
8	0.6365868662
9	0.6310394029
10	0.6266831322
11	0.6221170925
12	0.6164219234
13	0.6110824008
14	0.605771105
15	0.601365798
16	0.5964176945
17	0.5931496232
18	0.5881413533
19	0.5837940311
20	0.5796605967
21	0.5759110726
22	0.5715982311
23	0.567444406
24	0.5639349863
25	0.5600175943
26	0.556444758
27	0.5527110492
28	0.5492063462
29	0.5458122852
30	0.5424890324
31	0.539137671
32	0.5366327912
33	0.5329918341
34	0.5301615335
35	0.5275863495
36	0.5241644167
37	0.5210009062
38	0.5181029721
39	0.5150322687
40	0.5132310233
41	0.5104877223
42	0.508357054
43	0.5063835193
44	0.5043693304
45	0.5018857946
46	0.49917861
47	0.4967332167
48	0.494441959
49	0.4919080606
50	0.4900598244
51	0.488594065
52	0.4866727143
53	0.4850954755
54	0.4830488922
55	0.4807266993
56	0.4785567607
57	0.476608091
58	0.475179942
59	0.4738083909
60	0.4716053389
61	0.4697059965
62	0.4678137346
63	0.4661731016
64	0.4646661685
65	0.462735927
66	0.4610220444
67	0.4591345318
68	0.4574790369
69	0.4561131886
70	0.4549343023
71	0.4534536423
72	0.4518762924
73	0.4505153672
74	0.4494426319
75	0.4479609417
76	0.4463744898
77	0.4449600297
78	0.4439594545
79	0.4423888101
80	0.4410597625
81	0.4397312295
82	0.4386379321
83	0.4380475292
84	0.436739782
85	0.4359674781
86	0.4351546858
87	0.4344363555
88	0.4334893526
89	0.4330277003
90	0.4318588416
91	0.4306838246
92	0.4297295427
93	0.428598439
94	0.4275089945
95	0.4265659498
96	0.425619346
97	0.4248609072
98	0.4238387338
99	0.4231376864
100	0.4221998289
101	0.4215046165
102	0.4207417307
103	0.4198238798
104	0.4189029242
105	0.4179566962
106	0.4171534642
107	0.4164050067
108	0.4153842639
109	0.4147393101
110	0.4138916056
111	0.413093891
112	0.4124745621
113	0.4116726374
114	0.4107878355
115	0.4101946682
116	0.4093906474
117	0.4085428182
118	0.4078048279
119	0.4070481366
120	0.4064049059
121	0.4057574829
122	0.4049517837
123	0.4045273267
124	0.4038260117
125	0.4030577398
126	0.4026043933
127	0.4019627968
128	0.4013231675
129	0.4009830006
130	0.4003562698
131	0.3998765443
132	0.3992147174
133	0.3986627424
134	0.3980443307
135	0.397464045
136	0.3969190517
137	0.3963976991
138	0.3958894292
139	0.3954910206
140	0.3949268848
141	0.3946483979
142	0.3939749909
143	0.3933654431
144	0.3927402997
145	0.3923327902
146	0.3919113801
147	0.3915542314
148	0.3911148593
149	0.390981542
150	0.3907459874
151	0.3902722228
152	0.3896968699
153	0.3891635865
154	0.3886577232
155	0.3881620947
156	0.3878783098
