iter	Passed	Remaining
282	524	1328
283	526	1327
284	527	1323
285	529	1320
286	530	1318
287	531	1314
288	533	1312
289	534	1309
290	536	1306
291	538	1304
292	539	1302
293	541	1300
294	543	1298
295	545	1296
296	546	1294
297	548	1291
298	549	1288
299	551	1286
300	553	1284
301	554	1281
302	556	1279
303	558	1277
304	560	1276
305	561	1274
306	563	1271
307	564	1269
308	566	1267
309	568	1264
310	569	1261
311	571	1259
312	572	1257
313	574	1255
314	576	1253
315	578	1251
316	579	1249
317	581	1247
318	583	1244
319	584	1242
320	585	1239
321	587	1236
322	589	1235
323	591	1233
324	593	1232
325	595	1231
326	597	1229
327	599	1228
328	601	1225
329	602	1224
330	605	1223
331	607	1221
332	609	1220
333	611	1219
334	613	1217
335	615	1215
336	617	1213
337	619	1212
338	621	1211
339	623	1210
340	624	1207
341	626	1205
342	628	1203
343	630	1201
344	632	1200
345	634	1198
346	636	1197
347	638	1195
348	639	1193
349	641	1192
350	644	1191
351	646	1190
352	648	1187
353	650	1186
354	652	1185
355	654	1183
356	656	1181
357	658	1180
358	660	1179
359	662	1177
360	663	1175
361	666	1174
362	668	1173
363	670	1171
364	672	1169
365	673	1166
366	675	1164
367	676	1162
368	678	1160
369	680	1158
370	682	1156
371	683	1153
372	685	1152
373	687	1150
374	688	1147
375	690	1145
376	691	1143
377	693	1141
378	695	1138
379	696	1136
380	698	1134
381	700	1133
382	702	1131
383	703	1129
384	705	1126
385	707	1124
386	708	1122
387	710	1120
388	711	1117
389	713	1116
390	715	1114
391	717	1112
392	719	1110
393	720	1108
394	722	1106
395	724	1104
396	725	1102
397	727	1099
398	729	1098
399	731	1096
400	733	1095
401	734	1092
402	736	1091
403	738	1089
404	740	1087
405	741	1085
406	743	1083
407	745	1081
408	746	1079
409	748	1077
410	750	1075
411	752	1073
412	753	1071
413	755	1069
414	757	1067
415	758	1065
416	760	1063
417	762	1061
418	763	1058
419	765	1056
420	766	1054
421	768	1052
422	770	1050
423	771	1048
424	773	1046
425	774	1044
426	776	1042
427	779	1041
428	781	1039
429	783	1037
430	785	1036
431	787	1034
432	788	1032
433	790	1031
434	793	1030
435	795	1028
436	796	1026
437	798	1024
438	800	1022
439	801	1020
440	803	1018
441	804	1015
442	806	1014
443	808	1012
444	810	1010
445	812	1008
446	813	1006
447	815	1004
448	817	1002
449	818	1000
450	820	998
451	821	996
452	823	994
453	825	992
454	826	990
455	828	988
456	830	986
457	832	984
458	833	982
459	835	980
460	836	978
461	838	976
462	840	974
463	842	972
464	844	971
465	845	969
466	847	966
467	848	964
468	849	962
469	851	959
470	852	957
471	854	955
472	856	954
473	858	952
474	860	950
475	861	948
476	863	946
477	865	944
478	866	942
479	868	940
480	869	938
481	871	936
482	873	934
483	875	933
484	876	930
485	878	929
486	879	926
487	881	924
488	882	922
489	884	920
490	885	918
491	887	916
492	889	914
493	891	912
494	893	911
495	893	908
496	895	906
497	896	904
498	898	901
499	899	899
500	901	897
501	903	895
502	904	894
503	906	892
504	908	890
505	910	888
506	911	886
507	913	884
508	915	882
509	916	880
510	918	878
511	920	876
512	922	875
513	923	873
514	925	871
515	926	869
516	928	867
517	930	865
518	932	863
519	933	862
520	935	860
521	938	859
522	940	857
523	942	855
524	943	853
525	945	851
526	946	849
527	947	847
528	948	844
529	950	842
530	952	841
531	954	839
532	955	837
533	957	835
534	959	833
535	960	831
536	961	829
537	963	827
538	965	825
539	967	824
540	968	821
541	970	820
542	972	818
543	973	816
544	975	814
545	976	812
546	978	810
547	980	808
548	981	806
549	983	804
550	984	802
551	986	800
552	988	798
553	989	796
554	991	794
555	993	793
556	994	791
557	996	789
558	997	787
559	999	785
560	1001	783
561	1003	781
562	1004	779
563	1006	777
564	1008	776
565	1009	774
566	1010	771
567	1012	769
568	1014	768
569	1016	766
570	1017	764
571	1019	762
572	1021	761
573	1022	759
574	1024	757
575	1025	755
576	1027	753
577	1029	751
578	1030	749
579	1032	747
580	1034	746
581	1036	744
582	1037	742
583	1039	740
584	1040	738
585	1042	736
586	1044	734
587	1045	732
588	1047	731
589	1049	729
590	1051	727
591	1053	725
592	1054	723
593	1056	721
594	1057	719
595	1059	718
596	1061	716
597	1063	714
598	1065	712
599	1066	711
600	1068	709
601	1069	707
602	1071	705
603	1073	703
604	1074	701
605	1076	699
606	1077	697
607	1079	696
608	1081	694
609	1083	693
610	1085	691
611	1087	689
612	1089	687
613	1091	686
614	1093	684
615	1095	683
616	1097	681
617	1099	679
618	1101	678
619	1103	676
620	1104	674
621	1106	672
622	1108	670
623	1110	669
624	1112	667
625	1113	665
626	1115	663
627	1117	661
628	1118	659
629	1120	657
630	1122	656
631	1123	654
632	1125	652
633	1127	651
634	1129	649
635	1131	647
636	1133	645
637	1135	644
638	1137	642
639	1138	640
640	1140	638
641	1142	637
642	1144	635
643	1145	633
644	1147	631
645	1149	630
646	1151	628
647	1153	626
648	1155	624
649	1157	623
650	1159	621
651	1161	619
652	1163	618
653	1165	616
654	1167	614
655	1168	613
656	1170	611
657	1172	609
658	1174	607
659	1176	606
660	1178	604
661	1180	602
662	1181	600
663	1183	599
664	1185	597
665	1187	595
666	1189	593
667	1191	592
668	1193	590
669	1195	588
670	1197	586
671	1198	585
672	1200	583
673	1202	581
674	1204	579
675	1206	578
676	1208	576
677	1210	574
678	1211	572
679	1213	571
680	1215	569
681	1217	567
682	1218	565
683	1220	563
684	1222	562
685	1224	560
686	1225	558
687	1227	556
688	1230	555
689	1232	553
690	1233	551
691	1235	549
692	1237	548
693	1239	546
694	1241	544
695	1243	543
696	1245	541
697	1247	539
698	1248	537
699	1250	535
700	1252	534
701	1254	532
702	1256	530
703	1258	529
704	1260	527
705	1262	525
706	1264	523
707	1265	522
708	1267	520
709	1269	518
710	1271	516
711	1273	515
712	1275	513
713	1277	511
714	1279	509
715	1280	507
716	1282	506
717	1284	504
718	1286	502
719	1288	501
720	1290	499
721	1291	497
722	1293	495
723	1295	493
724	1297	492
725	1298	490
726	1300	488
727	1302	486
728	1304	485
729	1306	483
730	1308	481
731	1310	479
732	1312	477
733	1314	476
734	1316	474
735	1318	472
736	1320	471
737	1321	469
738	1323	467
739	1325	465
740	1326	463
741	1328	461
742	1330	460
743	1332	458
744	1334	456
745	1336	455
746	1338	453
747	1340	451
748	1342	449
749	1343	447
750	1345	446
751	1347	444
752	1349	442
753	1351	441
754	1353	439
755	1355	437
756	1357	435
757	1359	434
758	1361	432
759	1362	430
760	1365	428
761	1367	427
762	1369	425
763	1371	423
764	1373	421
765	1375	420
766	1377	418
767	1379	416
768	1382	415
769	1384	413
770	1386	411
771	1388	410
772	1391	408
773	1393	406
774	1395	405
775	1397	403
776	1399	401
777	1401	399
778	1403	398
779	1404	396
780	1406	394
781	1408	392
782	1410	390
783	1412	389
784	1414	387
785	1416	385
786	1418	383
787	1420	382
788	1422	380
789	1424	378
790	1426	376
791	1428	375
792	1430	373
793	1433	371
794	1435	370
795	1436	368
796	1438	366
797	1440	364
798	1441	362
799	1443	360
800	1445	359
801	1447	357
802	1449	355
803	1451	353
804	1453	352
805	1455	350
806	1457	348
807	1459	346
808	1461	345
809	1463	343
810	1465	341
811	1467	339
812	1469	337
813	1470	336
814	1472	334
815	1474	332
816	1476	330
817	1478	328
818	1480	327
819	1482	325
820	1483	323
821	1485	321
822	1487	319
823	1489	318
824	1491	316
825	1493	314
826	1495	312
827	1497	311
828	1499	309
829	1501	307
830	1503	305
831	1504	303
832	1506	302
833	1508	300
834	1511	298
835	1512	296
836	1514	294
837	1516	293
838	1518	291
839	1519	289
840	1521	287
841	1524	285
842	1525	284
843	1528	282
844	1530	280
845	1532	278
846	1534	277
847	1536	275
848	1538	273
849	1540	271
850	1542	270
851	1544	268
852	1546	266
853	1548	264
854	1550	262
855	1552	261
856	1554	259
857	1556	257
858	1558	255
859	1560	253
860	1561	252
861	1563	250
862	1564	248
863	1566	246
864	1568	244
865	1570	242
866	1572	241
867	1574	239
868	1575	237
869	1577	235
870	1579	233
871	1581	232
872	1582	230
873	1584	228
874	1586	226
875	1588	224
876	1590	223
877	1591	221
878	1593	219
879	1595	217
880	1596	215
881	1598	213
882	1600	212
883	1602	210
884	1604	208
885	1606	206
886	1608	204
887	1610	203
888	1612	201
889	1613	199
890	1615	197
891	1617	195
892	1619	194
893	1621	192
894	1623	190
895	1625	188
896	1627	186
897	1628	185
898	1630	183
899	1632	181
900	1634	179
901	1636	177
902	1638	176
903	1640	174
904	1642	172
905	1643	170
906	1645	168
907	1647	166
908	1649	165
909	1651	163
910	1653	161
911	1654	159
912	1656	157
913	1658	156
914	1659	154
915	1661	152
916	1663	150
917	1665	148
918	1667	146
919	1669	145
920	1670	143
921	1672	141
922	1674	139
923	1676	137
924	1678	136
925	1680	134
926	1682	132
927	1684	130
928	1686	128
929	1688	127
930	1690	125
931	1692	123
932	1694	121
933	1696	119
934	1698	118
935	1699	116
936	1701	114
937	1703	112
938	1704	110
939	1706	108
940	1708	107
941	1710	105
942	1712	103
943	1714	101
944	1716	99
945	1718	98
946	1720	96
947	1722	94
948	1724	92
949	1725	90
950	1727	89
951	1729	87
952	1731	85
953	1733	83
954	1736	81
955	1737	79
956	1739	78
957	1741	76
958	1743	74
959	1745	72
960	1747	70
961	1749	69
962	1751	67
963	1753	65
964	1755	63
965	1756	61
966	1758	60
967	1760	58
968	1762	56
969	1764	54
970	1766	52
971	1768	50
972	1769	49
973	1771	47
974	1772	45
975	1774	43
976	1776	41
977	1778	40
978	1780	38
979	1782	36
980	1784	34
981	1786	32
982	1788	30
983	1790	29
984	1791	27
985	1793	25
986	1795	23
987	1797	21
988	1799	20
989	1801	18
990	1802	16
991	1804	14
992	1806	12
993	1808	10
994	1810	9
995	1812	7
996	1814	5
997	1815	3
998	1817	1
999	1819	0
